µÁ—π(V),x÷·(s)
0.656,0.0
4.172,0.0008004002001000501
-2.859,0.0016008004002001002
-0.125,0.0024012006003001503
2.609,0.0032016008004002003
0.656,0.004002001000500251
1.438,0.004802401200600301
4.562,0.005602801400700351
-0.125,0.006403201600800401
3.391,0.007203601800900451
-2.078,0.008004002001000501
-0.125,0.00880440220110055
-0.516,0.009604802401200601
1.047,0.01040520260130065
1.438,0.011205602801400701
2.219,0.01200600300150075
1.828,0.012806403201600801
6.906,0.013606803401700852
3.391,0.014407203601800901
-0.125,0.015207603801900952
-2.469,0.016008004002001003
1.047,0.01680840420210105
2.219,0.0176088044022011
-4.031,0.018409204602301152
3.391,0.019209604802401203
3.391,0.020010005002501254
3.0,0.0208104052026013
1.828,0.02161080540270135
5.344,0.022411205602801403
1.438,0.023211605802901453
6.516,0.0240120060030015
4.562,0.02481240620310155
-1.297,0.025612806403201602
3.391,0.026413206603301653
3.0,0.027213606803401704
-4.031,0.02801400700350175
-2.469,0.028814407203601802
1.047,0.029614807403701853
3.391,0.030415207603801904
2.219,0.03121560780390195
3.391,0.032016008004002006
5.734,0.03281640820410205
8.078,0.0336168084042021
5.344,0.034417208604302155
6.516,0.0352176088044022
4.172,0.036018009004502256
1.438,0.036818409204602304
3.391,0.03761880940470235
-0.516,0.038419209604802405
-1.297,0.03921960980490245
0.656,0.04002001000500251
2.609,0.040820410205102554
4.953,0.0416208104052026
0.656,0.042421210605302656
5.344,0.0432216108054027
3.391,0.04402201100550275
3.0,0.044822411205602805
1.438,0.04562281140570285
2.609,0.04642321160580291
3.391,0.047223611805902954
3.0,0.048024012006003
2.219,0.048824412206103056
1.438,0.0496248124062031
1.438,0.05042521260630316
1.047,0.051225612806403205
1.438,0.05202601300650325
3.391,0.052826413206603307
1.047,0.053626813406703354
2.609,0.05442721360680341
4.953,0.055227613806903456
4.953,0.0560280140070035
0.266,0.05682841420710356
1.047,0.057628814407203605
-2.469,0.05842921460730366
-0.906,0.059229614807403706
2.219,0.060030015007503754
3.0,0.06083041520760381
4.562,0.061630815407703855
3.781,0.0624312156078039
2.219,0.06323161580790396
3.0,0.06403201600800401
0.266,0.06483241620810405
-2.469,0.0656328164082041
-0.906,0.06643321660830416
1.828,0.0672336168084042
-1.297,0.06803401700850426
6.516,0.06883441720860431
1.828,0.06963481740870435
2.609,0.0704352176088044
0.266,0.07123561780890446
-0.906,0.07203601800900451
1.828,0.07283641820910455
1.047,0.07363681840920461
-0.906,0.07443721860930466
6.125,0.0752376188094047
1.828,0.07603801900950476
1.047,0.07683841920960481
-1.688,0.07763881940970485
-0.516,0.0784392196098049
-2.078,0.07923961980990496
-4.812,0.08004002001000501
-0.516,0.08084042021010505
0.656,0.08164082041020511
1.047,0.08244122061030516
1.438,0.0832416208104052
0.656,0.08404202101050526
2.219,0.08484242121060531
-7.938,0.08564282141070535
-2.469,0.0864432216108054
-3.25,0.08724362181090546
-4.031,0.0880440220110055
-0.906,0.08884442221110556
-1.297,0.08964482241120561
5.344,0.09044522261130566
-1.688,0.0912456228114057
-0.125,0.09204602301150576
1.438,0.09284642321160581
3.0,0.09364682341170585
-3.25,0.09444722361180591
-1.297,0.09524762381190596
-3.25,0.096048024012006
1.438,0.09684842421210606
-5.594,0.09764882441220611
1.047,0.09844922461230617
-0.516,0.0992496248124062
-4.031,0.10005002501250626
-1.297,0.10085042521260631
-5.594,0.10165082541270636
-0.125,0.10245122561280641
-2.078,0.10325162581290646
-1.297,0.1040520260130065
-4.031,0.10485242621310656
-1.688,0.10565282641320661
-1.688,0.10645322661330665
-8.719,0.10725362681340671
-5.203,0.10805402701350676
-7.156,0.10885442721360682
-1.297,0.10965482741370686
-4.812,0.11045522761380691
2.219,0.11125562781390697
-1.688,0.112056028014007
-5.984,0.11285642821410706
-4.812,0.11365682841420711
-4.031,0.11445722861430715
-8.328,0.11525762881440721
-8.719,0.11605802901450726
-7.938,0.11685842921460732
-3.25,0.11765882941470736
-2.859,0.11845922961480741
-3.25,0.11925962981490747
-2.469,0.12006003001500751
-2.859,0.12086043021510756
-2.078,0.12166083041520762
-4.031,0.12246123061530766
-4.031,0.12326163081540771
-0.516,0.12406203101550776
-3.641,0.1248624312156078
-3.25,0.12566283141570786
-6.375,0.12646323161580791
-4.031,0.12726363181590797
-7.156,0.12806403201600802
-8.328,0.12886443221610805
-5.594,0.1296648324162081
-6.766,0.13046523261630816
-2.859,0.1312656328164082
-0.906,0.13206603301650827
5.734,0.13286643321660832
1.047,0.13366683341670837
-3.25,0.1344672336168084
-0.125,0.13526763381690846
-5.203,0.1360680340170085
-2.469,0.13686843421710856
-3.641,0.13766883441720862
-2.078,0.13846923461730867
-3.25,0.1392696348174087
-7.156,0.14007003501750875
-4.812,0.1408704352176088
-3.25,0.14167083541770886
-0.125,0.14247123561780892
2.219,0.14327163581790897
-3.641,0.14407203601800903
-0.516,0.14487243621810905
1.047,0.1456728364182091
-0.516,0.14647323661830916
