µÁ—π(V),x÷·(s)
-0.2,0.232916458
-0.2,0.233716858
-0.2,0.234517259
-0.2,0.235317659
-0.2,0.236118059
-0.2,0.236918459
-0.2,0.237718859
-0.2,0.23851926
-0.2,0.23931966
-0.2,0.24012006
-0.2,0.24092046
-0.2,0.24172086
-0.2,0.242521261
-0.2,0.243321661
-0.2,0.244122061
-0.2,0.244922461
-0.2,0.245722861
-0.2,0.246523262
-0.2,0.247323662
-0.2,0.248124062
-0.2,0.248924462
-0.2,0.249724862
-0.2,0.250525263
-0.2,0.251325663
0.2,0.252126063
-0.2,0.252926463
-0.2,0.253726863
-0.2,0.254527264
-0.2,0.255327664
-0.2,0.256128064
-0.2,0.256928464
-0.2,0.257728864
-0.2,0.258529265
-0.2,0.259329665
-0.2,0.260130065
-0.2,0.260930465
-0.2,0.261730865
0.2,0.262531266
-0.2,0.263331666
0.2,0.264132066
-0.2,0.264932466
-0.2,0.265732866
-0.2,0.266533267
-0.2,0.267333667
-0.6,0.268134067
-0.2,0.268934467
-0.2,0.269734867
-0.2,0.270535268
-0.2,0.271335668
-0.2,0.272136068
-0.2,0.272936468
-0.2,0.273736868
-0.2,0.274537269
-0.2,0.275337669
-0.2,0.276138069
-0.2,0.276938469
-0.2,0.277738869
-0.2,0.27853927
-0.2,0.27933967
-0.2,0.28014007
-0.2,0.28094047
-0.2,0.28174087
-0.2,0.282541271
-0.2,0.283341671
-0.2,0.284142071
-0.2,0.284942471
-0.2,0.285742871
-0.2,0.286543272
-0.2,0.287343672
-0.2,0.288144072
-0.2,0.288944472
-0.2,0.289744872
-0.6,0.290545273
-0.2,0.291345673
-0.2,0.292146073
-0.2,0.292946473
-0.2,0.293746873
-0.2,0.294547274
-0.2,0.295347674
-0.2,0.296148074
-0.2,0.296948474
-0.2,0.297748874
-0.2,0.298549275
-0.2,0.299349675
-0.2,0.300150075
-0.2,0.300950475
-0.2,0.301750875
-0.2,0.302551276
-0.2,0.303351676
-0.2,0.304152076
-0.2,0.304952476
-0.2,0.305752876
-0.2,0.306553277
-0.2,0.307353677
-0.2,0.308154077
-0.2,0.308954477
-0.2,0.309754877
-0.2,0.310555278
-0.2,0.311355678
-0.2,0.312156078
0.2,0.312956478
-0.2,0.313756878
-0.2,0.314557279
-0.2,0.315357679
-0.2,0.316158079
-0.2,0.316958479
-0.2,0.317758879
-0.2,0.31855928
-0.2,0.31935968
-0.2,0.32016008
-0.2,0.32096048
-0.2,0.32176088
-0.2,0.322561281
-0.2,0.323361681
-0.2,0.324162081
-0.2,0.324962481
-0.2,0.325762881
-0.2,0.326563282
-0.2,0.327363682
-0.2,0.328164082
-0.2,0.328964482
-0.2,0.329764882
-0.2,0.330565283
-0.2,0.331365683
-0.2,0.332166083
-0.2,0.332966483
-0.2,0.333766883
-0.2,0.334567284
-0.2,0.335367684
-0.2,0.336168084
-0.2,0.336968484
-0.2,0.337768884
-0.2,0.338569285
-0.2,0.339369685
-0.2,0.340170085
-0.2,0.340970485
-0.2,0.341770885
-0.2,0.342571286
-0.2,0.343371686
-0.2,0.344172086
-0.2,0.344972486
-0.2,0.345772886
-0.2,0.346573287
-0.2,0.347373687
-0.2,0.348174087
-0.2,0.348974487
-0.2,0.349774887
-0.2,0.350575288
-0.2,0.351375688
-0.2,0.352176088
-0.6,0.352976488
-0.2,0.353776888
-0.2,0.354577289
0.2,0.355377689
-0.2,0.356178089
-0.2,0.356978489
-0.2,0.357778889
-0.2,0.35857929
-0.2,0.35937969
-0.2,0.36018009
-0.2,0.36098049
-0.2,0.36178089
-0.2,0.362581291
-0.2,0.363381691
-0.2,0.364182091
-0.2,0.364982491
-0.2,0.365782891
-0.2,0.366583292
-0.2,0.367383692
-0.2,0.368184092
-0.2,0.368984492
-0.2,0.369784892
-0.2,0.370585293
-0.2,0.371385693
-0.2,0.372186093
-0.2,0.372986493
-0.2,0.373786893
-0.2,0.374587294
-0.2,0.375387694
-0.2,0.376188094
-0.2,0.376988494
-0.2,0.377788894
-0.2,0.378589295
-0.2,0.379389695
-0.2,0.380190095
-0.2,0.380990495
-0.2,0.381790895
-0.2,0.382591296
0.2,0.383391696
-0.2,0.384192096
-0.2,0.384992496
-0.2,0.385792896
-0.2,0.386593297
-0.2,0.387393697
-0.2,0.388194097
-0.2,0.388994497
-0.2,0.389794897
-0.2,0.390595298
-0.2,0.391395698
-0.2,0.392196098
-0.2,0.392996498
-0.2,0.393796898
-0.2,0.394597299
-0.2,0.395397699
-0.2,0.396198099
-0.2,0.396998499
-0.2,0.397798899
-0.2,0.3985993
-0.2,0.3993997
-0.2,0.4002001
-0.2,0.4010005
-0.2,0.401800901
