label,dominant frequency,central frequency,kurtosis,RMS,crest factor
OC6,1.875,199.26382111254023,3.5063613751705724,4.264964444183207,3.8588635005964047
OC6,0.0,193.19169300325945,2.3717673872556255,4.666273829863169,3.0321510033231167
OC6,1.875,205.47495556451008,2.8246073075790283,5.1168266051538405,3.1792123087803783
OC6,1.875,189.49887799945043,3.731845437599523,5.157633325347704,3.289299360740482
OC6,2.5,108.29587018685076,2.302071007874077,14.670637036879723,2.0308606010156502
OC6,1.875,98.84983443414232,2.051754745351235,15.021266407142857,1.6691111002516932
OC6,0.0,209.0392410341036,3.7910096542680574,4.555265204833657,3.6030222472193785
OC6,2.5,218.8528869583246,2.9648554474929996,3.5406699171214644,3.095624452874973
OC6,2.5,199.74489099355503,2.9121719132596358,5.243928681420025,3.1163509017393265
OC6,0.625,191.07818339084395,4.134661365102519,5.2492250646502825,3.0957265929466553
OC6,0.625,218.66368497085725,4.0366624982886234,3.2678540497849577,5.0034278232456435
OC6,2.5,204.96579289997717,3.1521508515078436,4.91323997719784,3.5060653875947176
OC6,2.5,200.70695634525615,2.621651535510496,6.278976592429267,2.7862457547769712
OC6,2.5,207.26851195541158,4.1471103556160225,5.506468703235516,3.3918806010875047
OC6,0.625,193.22057063881954,2.9134673986743715,4.277146210878488,3.123692022970588
OC6,2.5,223.55495720239205,4.341587850926974,3.1682832728279666,5.394447411498243
OC6,0.625,194.26737793045825,3.433784067680731,5.350437538873912,3.319243729315223
OC6,1.875,206.6257472419022,4.367859489621163,3.530929564798635,4.8507782258683445
OC6,2.5,215.1077925296404,3.540760567538824,4.65695349508021,3.4307722617111565
OC6,3.125,200.13274284210516,2.7289258231002353,5.794384313273542,2.827469837903135
OC6,0.0,181.0350105016986,4.898390979042217,4.584976933711286,3.7437913261443017
OC6,2.5,211.6741522124744,3.650869268914492,4.606034135950407,3.431877246984043
OC6,2.5,211.2174407018315,2.8813360669328563,4.847831375731949,3.3435291718562947
OC6,1.875,109.42450268530469,3.4037881220574056,12.634206274695526,2.307179215791495
OC6,1.25,127.81069335122767,3.0776790766025464,12.622015595383642,1.9923811244693412
OC6,0.625,154.7797974826432,4.32827582015413,7.520161198341018,2.564165031363146
OC6,0.0,202.0309247065932,3.160224088780939,3.999715941233829,4.086073765018045
OC6,2.5,199.5558231385238,2.7560616371541404,4.043366940503638,3.665457734378652
OC6,2.5,190.6579566470832,3.6020717023312576,5.155771262665686,3.5156712645991854
OC6,0.0,217.7560387738719,2.281012769509943,3.9443944230496686,3.06340275693262
OC6,1.875,206.28807887236763,3.1944009314947204,4.308195093790848,3.847989764644771
OC6,2.5,212.9334318348442,4.069909703356113,4.064664133090598,4.313422967045731
OC6,3.125,202.86866087842301,2.4432564627289857,5.241042634286366,3.124127300145402
OC6,2.5,200.64907459157973,4.130748429246852,5.1972796648019415,3.7943672020488663
OC6,2.5,202.63538086627747,2.892802077991386,5.086164944683882,3.215730845908804
OC6,0.0,191.75035735735142,2.9207951249160953,4.462709025509612,3.677205209032435
OC6,0.625,221.3466398536831,4.054884210531031,4.053359658143074,3.6557690717700835
OC6,0.625,200.52621006077047,2.7714012045080922,5.384321754693555,3.2195872646148413
OC6,2.5,205.074824578054,3.9278040712471,3.5646711673985023,3.531057644283651
OC6,2.5,207.34567042667263,4.466126482617282,3.373659735668514,4.82625454276099
OC6,2.5,201.36670552359269,3.3292048847750366,5.237124092355903,3.2906615961523893
OC6,0.0,222.88927313010038,4.428905197176592,3.351263620444209,4.973603433737238
OC6,2.5,99.78053322326777,1.9796052082904823,15.681769065902145,1.8368748292329793
OC6,0.0,247.97000220033095,2.9003259982749294,2.1924677260573597,3.552982745159097
OC6,1.875,102.72407227866393,2.2305308794326346,14.702705489759206,1.7530617081293478
OC6,0.0,196.8918664485074,2.560007557081601,5.175539497468728,2.952148154307912
OC6,1.875,216.69705355891654,4.849861181974379,3.561173892014579,4.57794620379444
OC6,0.625,201.75742737431517,2.1459769748330126,5.518884575416835,2.9487066911108366
OC6,1.875,227.81570027568839,4.292287258987839,3.4539490894949476,3.79986239227375
OC6,1.875,105.41980917861255,2.1808276451594786,14.877743160777039,1.8852015017938477
OC6,0.625,97.86451230061465,2.19137312152291,15.012020047344167,1.6792506052148408
OC6,0.0,195.92425556265627,3.0413278600638822,5.221300806054617,3.119335220279519
